File,Glycan_Composition,Moiety_Mass_(Da),Glycan_Type,Glycan_Mass_(Da),num_Protein,num_Site,Percent_Relative_Abundance_in_Sample
ID112496_Pool01_MA10140C_6010_031524,Hex(5)HexNAc(4)NeuAc(2),0,Complex/Hybrid,2204.7723,73,148,37.2992
ID112496_Pool01_MA10140C_6010_031524,Hex(6)HexNAc(5)NeuAc(3),0,Complex/Hybrid,2860.9999,49,96,14.484
ID112496_Pool01_MA10140C_6010_031524,Hex(6)HexNAc(5)NeuAc(3)Fuc(1),0,Complex/Hybrid,3007.0578,39,75,8.2646
ID112496_Pool01_MA10140C_6010_031524,Hex(5)HexNAc(4)NeuAc(1),0,Complex/Hybrid,1913.6769,49,76,7.025
ID112496_Pool01_MA10140C_6010_031524,Hex(5)HexNAc(4)NeuAc(2)Fuc(1),0,Complex/Hybrid,2350.8302,47,74,3.4458
ID112496_Pool01_MA10140C_6010_031524,Hex(5)HexNAc(4)NeuAc(1)Fuc(1),0,Complex/Hybrid,2059.7348,27,39,3.1454
ID112496_Pool01_MA10140C_6010_031524,Hex(6)HexNAc(5)NeuAc(2),0,Complex/Hybrid,2569.9045,27,57,2.5697
ID112496_Pool01_MA10140C_6010_031524,Hex(9)HexNAc(2),0,Oligo-Mannose,1864.6341,3,3,2.5431
ID112496_Pool01_MA10140C_6010_031524,Hex(8)HexNAc(6)NeuAc(4)Fuc(3),0,Complex/Hybrid,4117.454,2,2,1.9505
ID112496_Pool01_MA10140C_6010_031524,Hex(5)HexNAc(5)NeuAc(1)Fuc(1),0,Complex/Hybrid,2262.8142,11,14,1.4185
ID112496_Pool01_MA10140C_6010_031524,Hex(6)HexNAc(5)NeuAc(2)Fuc(1),0,Complex/Hybrid,2715.9624,23,43,1.1293
ID112496_Pool01_MA10140C_6010_031524,Hex(7)HexNAc(6)NeuAc(4),0,Complex/Hybrid,3517.2275,8,14,1.0965
ID112496_Pool01_MA10140C_6010_031524,Hex(7)HexNAc(6)NeuAc(3),0,Complex/Hybrid,3226.1321,9,17,1.0304
ID112496_Pool01_MA10140C_6010_031524,Hex(7)HexNAc(6)NeuAc(4)Fuc(1),0,Complex/Hybrid,3663.2854,10,16,0.5719
ID112496_Pool01_MA10140C_6010_031524,Hex(5)HexNAc(4)Fuc(1),0,Complex/Hybrid,1768.6394,8,10,0.5651
ID112496_Pool01_MA10140C_6010_031524,Hex(6)HexNAc(5)NeuAc(2)Fuc(2),0,Complex/Hybrid,2862.0203,16,21,0.4732
ID112496_Pool01_MA10140C_6010_031524,Hex(5)HexNAc(4)NeuAc(1)Fuc(2),0,Complex/Hybrid,2205.7927,20,23,0.4711
ID112496_Pool01_MA10140C_6010_031524,Hex(7)HexNAc(6)NeuAc(3)Fuc(1),0,Complex/Hybrid,3372.19,6,11,0.4519
ID112496_Pool01_MA10140C_6010_031524,Hex(10)HexNAc(8)NeuAc(2),0,Complex/Hybrid,3827.3539,3,3,0.416
ID112496_Pool01_MA10140C_6010_031524,Hex(6)HexNAc(5)NeuAc(3)Fuc(2),0,Complex/Hybrid,3153.1157,16,24,0.373
ID112496_Pool01_MA10140C_6010_031524,Hex(4)HexNAc(3)NeuAc(1),0,Complex/Hybrid,1548.5448,21,38,0.3444
ID112496_Pool01_MA10140C_6010_031524,Hex(7)HexNAc(6)NeuAc(2),0,Complex/Hybrid,2935.0367,6,13,0.2486
ID112496_Pool01_MA10140C_6010_031524,Hex(7)HexNAc(5)NeuAc(2)Fuc(2),0,Complex/Hybrid,3024.0731,14,19,0.2395
ID112496_Pool01_MA10140C_6010_031524,Hex(5)HexNAc(5)NeuAc(2)Fuc(1),0,Complex/Hybrid,2553.9096,5,8,0.232
ID112496_Pool01_MA10140C_6010_031524,Hex(6)HexNAc(4)NeuAc(1)Fuc(1),0,Complex/Hybrid,2221.7877,12,14,0.2149
ID112496_Pool01_MA10140C_6010_031524,Hex(6)HexNAc(5)NeuAc(1),0,Complex/Hybrid,2278.8091,14,19,0.1798
ID112496_Pool01_MA10140C_6010_031524,Hex(6)HexNAc(5)NeuAc(1)Fuc(1),0,Complex/Hybrid,2424.867,9,10,0.1594
ID112496_Pool01_MA10140C_6010_031524,Hex(7)HexNAc(6)NeuAc(4)Fuc(2),0,Complex/Hybrid,3809.3433,4,7,0.1426
ID112496_Pool01_MA10140C_6010_031524,Hex(5)HexNAc(4),0,Complex/Hybrid,1622.5815,2,2,0.1401
ID112496_Pool01_MA10140C_6010_031524,Hex(7)HexNAc(6)NeuAc(3)Fuc(3),0,Complex/Hybrid,3664.3058,8,8,0.132
ID112496_Pool01_MA10140C_6010_031524,Hex(4)HexNAc(4)NeuAc(1)Fuc(1),0,Complex/Hybrid,1897.682,5,6,0.1257
ID112496_Pool01_MA10140C_6010_031524,Hex(9)HexNAc(7)NeuAc(3)Fuc(3),0,Complex/Hybrid,4191.4908,2,2,0.1226
ID112496_Pool01_MA10140C_6010_031524,Hex(7)HexNAc(6)NeuAc(2)Fuc(1),0,Complex/Hybrid,3081.0946,6,7,0.1192
ID112496_Pool01_MA10140C_6010_031524,Hex(8)HexNAc(2),0,Oligo-Mannose,1702.5813,2,2,0.1007
ID112496_Pool01_MA10140C_6010_031524,Hex(7)HexNAc(6)NeuAc(1),0,Complex/Hybrid,2643.9413,4,4,0.0998
ID112496_Pool01_MA10140C_6010_031524,Hex(10)HexNAc(2),0,Oligo-Mannose,2026.6869,3,3,0.0953
ID112496_Pool01_MA10140C_6010_031524,Hex(4)HexNAc(3),0,Complex/Hybrid,1257.4494,6,7,0.0941
ID112496_Pool01_MA10140C_6010_031524,Hex(7)HexNAc(5)NeuAc(3),0,Complex/Hybrid,3023.0527,4,4,0.0928
ID112496_Pool01_MA10140C_6010_031524,Hex(6)HexNAc(5)Fuc(6),0,Complex/Hybrid,2864.0611,4,4,0.0831
ID112496_Pool01_MA10140C_6010_031524,Hex(6)HexNAc(4)Fuc(1),0,Complex/Hybrid,1930.6923,4,4,0.0791
ID112496_Pool01_MA10140C_6010_031524,Hex(7)HexNAc(6)NeuAc(3)Fuc(2),0,Complex/Hybrid,3518.2479,4,4,0.0787
ID112496_Pool01_MA10140C_6010_031524,Hex(8)HexNAc(7)NeuAc(4),0,Complex/Hybrid,3882.3597,4,6,0.0731
ID112496_Pool01_MA10140C_6010_031524,Hex(4)HexNAc(5)NeuAc(1)Fuc(1),0,Complex/Hybrid,2100.7614,2,3,0.0711
ID112496_Pool01_MA10140C_6010_031524,Hex(7)HexNAc(6)NeuAc(1)Fuc(3),0,Complex/Hybrid,3082.115,3,4,0.0704
ID112496_Pool01_MA10140C_6010_031524,Hex(8)HexNAc(7)NeuAc(1)Fuc(3),0,Complex/Hybrid,3447.2472,1,2,0.0684
ID112496_Pool01_MA10140C_6010_031524,Hex(8)HexNAc(7)NeuAc(3),0,Complex/Hybrid,3591.2643,3,3,0.0657
ID112496_Pool01_MA10140C_6010_031524,Hex(8)HexNAc(7)NeuAc(3)Fuc(1),0,Complex/Hybrid,3737.3222,2,3,0.0638
ID112496_Pool01_MA10140C_6010_031524,Hex(5)HexNAc(4)NeuGc(2)Fuc(1),0,Complex/Hybrid,2382.8201,1,1,0.0633
ID112496_Pool01_MA10140C_6010_031524,Hex(8)HexNAc(6)NeuAc(2)Fuc(1),0,Complex/Hybrid,3243.1474,3,3,0.0616
ID112496_Pool01_MA10140C_6010_031524,Hex(12)HexNAc(2),0,Oligo-Mannose,2350.7925,4,4,0.0586
